anio,mes,origen,destino,producto,toneladas,precio
2018,Abril,Caldas,Australia,Café,59.18,186.24
2018,Abril,Cauca,Australia,Café,222.64,783.81
2018,Abril,Huila,Australia,Café,119.6,444.54
2018,Abril,Nariño,Australia,Café,19.14,84.34
2018,Abril,Quindío,Australia,Café,129.29,512.33
2018,Abril,Risaralda,Australia,Café,97.06,302.81
2018,Abril,Valle del Cauca,Australia,Café,78.6,274.43
2018,Abril,Huila,Bélgica,Café,135.82,464.22
2018,Abril,Risaralda,Bélgica,Café,124.68,376.66
2018,Abril,Tolima,Bélgica,Café,142.93,441.95
2018,Abril,Valle del Cauca,Bélgica,Café,151.18,500.81
2018,Abril,Bogotá,Bolivia,Café,0.05,2.17
2018,Abril,Valle del Cauca,Bolivia,Café,4.22,78.86
2018,Abril,Bogotá,Canadá,Café,77.05,244.23
2018,Abril,Caldas,Canadá,Café,1748.5,5520.61
2018,Abril,Cundinamarca,Canadá,Café,346.05,1071.6
2018,Abril,Nariño,Canadá,Café,19.27,59.45
2018,Abril,Antioquia,Corea,Café,717.6,2403.9
2018,Abril,Caldas,Corea,Café,477.69,1603.8799999999999
2018,Abril,Cauca,Corea,Café,38.61,124.26
2018,Abril,Cundinamarca,Corea,Café,141.12,424.6
2018,Abril,Huila,Corea,Café,213.29,655.14
2018,Abril,Quindío,Corea,Café,670.12,2004.23
2018,Abril,Risaralda,Corea,Café,265.69,814.12
2018,Abril,Tolima,Corea,Café,115.74,602.4200000000001
2018,Abril,Antioquia,Chile,Café,40.77,382.82
2018,Abril,Bogotá,Chile,Café,43.75,807.85
2018,Abril,Caldas,Chile,Café,28.51,389.72999999999996
2018,Abril,Valle del Cauca,Chile,Café,29.77,200.54
2018,Abril,Antioquia,China,Café,99.27,324.24
2018,Abril,Cauca,China,Café,19.21,62.97
2018,Abril,Cundinamarca,China,Café,96.35,305.78
2018,Abril,Huila,China,Café,192.53,628.24
2018,Abril,Quindío,China,Café,96.1,294.12
2018,Abril,Risaralda,China,Café,143.82,443.36
2018,Abril,Valle del Cauca,China,Café,96.07,288.01
2018,Abril,Antioquia,Taiwán- Provincia de China,Café,36.77,117.73
